0.76278472,-0.00122691,0.78345811,-0.01792848,-0.03696838,0.04150891,0.99829298,-0.18127824,0.13874534,0.11504704,1.19246638,0.09015954,-0.03253639,-0.11017063,0.17485146,-0.10074013,0.18505730,-0.02220942,-0.13622390,0.02585020,0.04623483,-0.04711290,0.37078315,0.35679847,-0.28698650,0.61816728,0.02942330,0.01538383,0.00486710,0.39756602,-0.36006707,0.34249955,0.70870447,-0.03787585,0.02309186,-0.02390020
0.79459554,-0.00097494,0.78647858,-0.01570135,-0.03877683,0.03623492,0.99846727,-0.25792691,0.14089739,0.13083567,1.16931593,0.07387648,-0.03586292,-0.04102707,0.17660952,-0.09521325,0.15866454,-0.05619503,-0.14034492,0.04262665,0.04595538,-0.04448599,0.40996796,0.33257097,-0.25840834,0.64748234,0.02329263,0.01113769,-0.00290037,0.35590053,-0.39292857,0.35266301,0.67371434,-0.04354098,0.02493823,-0.03072894
0.82515377,-0.00046823,0.78787071,-0.01413262,-0.03883918,0.03113460,0.99866033,-0.32327771,0.13537604,0.14444982,1.09123683,0.04478987,-0.03750493,0.02168609,0.17741890,-0.09000988,0.13180210,-0.09098402,-0.14251825,0.05856479,0.04662642,-0.04140255,0.44018757,0.30808103,-0.22430830,0.68115056,0.01748412,0.00659645,-0.00972616,0.31404263,-0.42788559,0.35943079,0.63687623,-0.04919351,0.02626574,-0.03751715
0.85486823,0.00011530,0.78727180,-0.01432431,-0.03697853,0.02752221,0.99883431,-0.37744418,0.12557958,0.15214299,0.96449488,0.00955344,-0.03732695,0.07669587,0.17989066,-0.08665783,0.10894644,-0.12766936,-0.14266723,0.07273380,0.04904777,-0.03833942,0.45971400,0.28548557,-0.18623397,0.71836871,0.01240993,0.00266856,-0.01492238,0.27423495,-0.46239930,0.36297879,0.60044652,-0.05448167,0.02726712,-0.04364025
0.88396382,0.00129252,0.78417462,-0.01752853,-0.03399394,0.02608299,0.99892783,-0.42095667,0.11661860,0.15074770,0.79600346,-0.01955602,-0.03458039,0.12319215,0.18703718,-0.08680170,0.09407525,-0.16717786,-0.14052530,0.08399859,0.05387446,-0.03667342,0.46852544,0.26641390,-0.14630750,0.75738865,0.00832294,0.00023994,-0.01828854,0.23897009,-0.49480069,0.36370820,0.56571674,-0.05914809,0.02774459,-0.04878130
0.91382217,0.00385302,0.77903992,-0.02392447,-0.02962521,0.02664232,0.99891949,-0.45300183,0.11119271,0.13997862,0.60367155,-0.03218482,-0.02865916,0.16072915,0.20200813,-0.09202552,0.09143505,-0.21023066,-0.13551502,0.09176768,0.05903175,-0.03750995,0.46812361,0.25088066,-0.10719202,0.79676974,0.00529915,0.00000000,-0.02004449,0.21001926,-0.52437043,0.36196861,0.53364247,-0.06308538,0.02747116,-0.05306938
0.94300503,0.00687105,0.77175051,-0.02826667,-0.02562328,0.02866948,0.99886060,-0.48564658,0.10037820,0.12531777,0.41929543,-0.04350498,-0.02037742,0.18692908,0.21568352,-0.10020151,0.10180739,-0.25906864,-0.12709962,0.09707147,0.05828625,-0.03609421,0.45899341,0.23761848,-0.07159249,0.83580226,0.00326905,0.00000000,-0.02060276,0.18704425,-0.55009550,0.35838449,0.50567961,-0.06632769,0.02660018,-0.05683412
0.97237533,0.00874196,0.76647288,-0.02816272,-0.01984624,0.03017139,0.99895078,-0.51698965,0.07632910,0.10886355,0.27301183,-0.04897602,-0.01033450,0.20347637,0.22008543,-0.10900731,0.12972271,-0.31225026,-0.11534233,0.10199750,0.05386631,-0.03166348,0.44529688,0.22689615,-0.04139677,0.87359369,0.00206089,0.00000000,-0.02010705,0.17116688,-0.57126415,0.35421011,0.48342133,-0.06899390,0.02545508,-0.06030448
1.00304306,0.00780508,0.75898641,-0.02507931,-0.01036808,0.03053612,0.99916518,-0.53125900,0.03542423,0.09080236,0.20166467,-0.03610099,0.00106434,0.22035164,0.18884625,-0.11372510,0.19644479,-0.34487516,-0.10208516,0.10696883,0.05291723,-0.03040775,0.43237963,0.21969812,-0.01812628,0.90864223,0.00146865,0.00000000,-0.01851004,0.16716211,-0.58560711,0.35249498,0.46909553,-0.07116164,0.02475600,-0.06290291
1.03631008,0.00511765,0.75623959,-0.01878810,-0.00070762,0.03101981,0.99934191,-0.52383155,-0.01628834,0.07185976,0.20986837,0.00108561,0.01377280,0.23370939,0.12329991,-0.12028366,0.31830463,-0.32756370,-0.08903517,0.11042447,0.05142936,-0.03411311,0.42300570,0.21334825,-0.00505417,0.93872666,0.00131428,0.00000000,-0.01669463,0.18157339,-0.59031558,0.35670182,0.46612900,-0.07275826,0.02602481,-0.06349579
